Only x86_64 / Linux distributed in NPM package right now.
Trying globally installed anchor.
    Finished release [optimized] target(s) in 0.34s
Ledger location: .anchor/test-ledger
Log: .anchor/test-ledger/validator.log
Initializing...
thread 'main' panicked at cli/src/lib.rs:4309:48:
called `Option::unwrap()` on a `None` value
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
Waiting for fees to stabilize 1...
Waiting for fees to stabilize 2...
Connecting...
Identity: 6QeckaCUbewqP2NqjRwrvk6B38F93HAEp7DCH8unPTY1
Genesis Hash: CMEKF79MrXq5qf4EHvUniUoCoJncAfnsoB48GQXQeb7s
Version: 1.16.24
Shred Version: 54965
Gossip Address: 127.0.0.1:1024
TPU Address: 127.0.0.1:1027
JSON RPC URL: http://127.0.0.1:8899
WebSocket PubSub URL: ws://127.0.0.1:8900
00:00:27 | Processed Slot: 57 | Confirmed Slot: 57 | Finalized Slot: 25 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 57 | ◎499.999722500
00:00:28 | Processed Slot: 58 | Confirmed Slot: 58 | Finalized Slot: 26 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 58 | ◎499.999717500
00:00:28 | Processed Slot: 58 | Confirmed Slot: 58 | Finalized Slot: 26 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 58 | ◎499.999717500
00:00:28 | Processed Slot: 59 | Confirmed Slot: 59 | Finalized Slot: 27 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 59 | ◎499.999712500
00:00:28 | Processed Slot: 59 | Confirmed Slot: 59 | Finalized Slot: 27 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 59 | ◎499.999712500
00:00:29 | Processed Slot: 60 | Confirmed Slot: 60 | Finalized Slot: 28 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 60 | ◎499.999707500
00:00:29 | Processed Slot: 60 | Confirmed Slot: 60 | Finalized Slot: 28 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 60 | ◎499.999707500
00:00:29 | Processed Slot: 61 | Confirmed Slot: 61 | Finalized Slot: 29 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 61 | ◎499.999702500
00:00:29 | Processed Slot: 61 | Confirmed Slot: 61 | Finalized Slot: 29 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 61 | ◎499.999702500
00:00:30 | Processed Slot: 62 | Confirmed Slot: 62 | Finalized Slot: 30 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 62 | ◎499.999697500
00:00:30 | Processed Slot: 63 | Confirmed Slot: 63 | Finalized Slot: 31 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 63 | ◎499.999692500
00:00:30 | Processed Slot: 63 | Confirmed Slot: 63 | Finalized Slot: 31 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 63 | ◎499.999692500
00:00:30 | Processed Slot: 64 | Confirmed Slot: 64 | Finalized Slot: 32 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 64 | ◎499.999687500
00:00:31 | Processed Slot: 64 | Confirmed Slot: 64 | Finalized Slot: 32 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 64 | ◎499.999687500
00:00:31 | Processed Slot: 65 | Confirmed Slot: 65 | Finalized Slot: 33 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 65 | ◎499.999682500
